업종대분류명,업종중분류명,중분류 소비액
쇼핑업,면세점,2.8515970962E10
쇼핑업,관광기념품,1.3832164129E10
쇼핑업,레저용품쇼핑,4.82178008807E11
쇼핑업,대형쇼핑몰,2.926194683812E12
숙박업,호텔,2.50818198255E11
숙박업,기타숙박,1.22108561208E11
숙박업,콘도,1.159606251E9
숙박업,캠핑장/펜션,3.178391E7
식음료업,식음료,5.419319628497E12
여가서비스업,관광유원시설,3.4952624591E10
여가서비스업,골프장,1.20919442729E11
여가서비스업,기타레저,6.0116810488E10
여가서비스업,문화서비스,1.48184675549E11
여가서비스업,스키장,2.096424571E9
여행업,여행업,2.2916765347E10
운송업,항공운송,2.78144683348E11
운송업,렌터카,7.401136782E9
운송업,육상운송,2.71200567234E11
운송업,수상운송,6.3755194817E10
