순위,관광지명,주소,분류,외지인 검색 수
1,금오산,경북 구미시,자연경관(산),31258
2,구미CC,경북 구미시 송백로 229-0,육상레저스포츠,20051
3,호텔금오산,경북 구미시 금오산로 400-0,호텔,15913
4,동락공원,경북 구미시 3공단1로 191-0,도시공원,14653
5,골프존카운티선산,경북 구미시 강동로 953-74,육상레저스포츠,14273
6,골프존카운티구미,경북 구미시 강동로 953-74,육상레저스포츠,12980
7,박정희대통령생가,경북 구미시 박정희로 107-0,역사유적지,11134
8,구미낙동강체육공원,경북 구미시,도시공원,10809
9,라마다바이원덤구미호텔,경북 구미시 인동중앙로3길 41-0,호텔,10492
10,구미코,경북 구미시 첨단기업1로 49-0,전시시설,9058
11,도리사,경북 구미시 도리사로 526-0,종교성지,8457
12,금오랜드,경북 구미시 금오산로 341-0,테마공원,6843
13,구미새마을중앙시장,경북 구미시 구미중앙로9길 18-0,시장,5781
14,선산봉황시장,경북 구미시 남문로 19-26,시장,5579
15,새마을운동테마공원,경북 구미시 박정희로 155-0,도시공원,5465
16,롯데시네마구미공단,경북 구미시 산호대로 233-0,공연시설,4728
17,구미에코랜드,경북 구미시 인덕1길 195-0,기타관광,4244
18,CGV구미,경북 구미시 구미중앙로 44-0,공연시설,4048
19,롯데시네마프리미엄구미센트럴,경북 구미시 구미중앙로17길 16-0,공연시설,3972
20,구미농수산물도매시장,경북 구미시 선산대로 309-0,시장,3512
21,메가박스구미강동,경북 구미시 인동가산로 14-0,공연시설,3340
22,컨티뉴호텔,경북 구미시 봉곡로12길 9-5,모텔,3117
23,구미역후면광장,경북 구미시 구미중앙로 76-0,도시공원,2961
24,스포랜드골프클럽,경북 구미시 원대로 245-0,육상레저스포츠,2947
25,G7스퀘어,경북 구미시 야은로 296-0,쇼핑몰,2798
26,옥성자연휴양림,경북 구미시 휴양림길 150-0,자연공원,2711
27,쥬쥬동산,경북 구미시 원대로 227-0,테마공원,2576
28,구미캠핑장,경북 구미시 낙동제방길 200-0,캠핑,2179
29,호텔여기어때구미1호점,경북 구미시 구미중앙로33길 26-0,모텔,2105
30,호텔스테이구미,경북 구미시 여헌로 9-0,호텔,2075
31,구미시승마장,경북 구미시 선상동로 1174-7,육상레저스포츠,1929
32,호텔여기어때구미2호점,경북 구미시 인동중앙로3길 44-3,호텔,1913
33,라이브호텔,경북 구미시 송원서로 86-0,모텔,1880
34,금오산저수지,경북 구미시,자연경관(하천/해양),1799
35,더휴식오브젝트아늑구미지점,경북 구미시 인동중앙로3길 20-0,호텔,1754
36,GM모텔,경북 구미시 여헌로3길 9-0,모텔,1750
37,금오시장,경북 구미시 금오시장로 13-0,시장,1738
38,호텔제이스,경북 구미시 인동중앙로3길 26-0,호텔,1676
39,더휴식노마드아늑호텔구미지점,경북 구미시 인동중앙로3길 38-5,호텔,1645
40,형곡중앙시장,경북 구미시 형곡로 186-0,시장,1630
41,아트호텔,경북 구미시 산업로 320-11,모텔,1606
42,노비오스모텔,경북 구미시 옥계남로 31-0,모텔,1580
43,애니텔모텔,경북 구미시 봉곡로12길 9-7,모텔,1560
44,호텔얌구미인동점,경북 구미시 인동중앙로3길 38-8,모텔,1553
45,나인모텔,경북 구미시 인동북길 33-5,모텔,1531
46,구미센츄리호텔,경북 구미시 3공단1로 296-0,호텔,1473
47,문수사,경북 구미시 신곡4길 186-0,종교성지,1469
48,웰타임모텔,경북 구미시 산호대로29길 7-22,모텔,1453
49,호텔LEE,경북 구미시 인동32길 13-10,모텔,1369
50,호텔칸,경북 구미시 구미중앙로35길 12-0,모텔,1334
51,호텔선용,경북 구미시 신당1로 18-0,모텔,1318
52,라인모텔,경북 구미시 산호대로29길 8-9,모텔,1317
53,호텔더스테이,경북 구미시 신시로7길 9-0,호텔,1308
54,안곡저수지,경북 구미시,자연경관(하천/해양),1282
54,형곡전망대,경북 구미시,랜드마크관광,1282
56,구포생활체육공원,경북 구미시 옥계2공단로3길 133-0,도시공원,1255
57,투스테이,경북 구미시 인동36길 14-4,모텔,1253
58,지산샛강생태공원,경북 구미시,도시공원,1243
59,봉곡테마공원,경북 구미시,도시공원,1231
60,마천루호텔,경북 구미시 봉곡로12길 9-11,모텔,1221
61,5월호텔,경북 구미시 신시로7길 19-0,모텔,1212
62,이호텔,경북 구미시 송원서로6길 57-0,호텔,1210
62,수다사,경북 구미시 수다사길 183-0,종교성지,1210
64,해마루모텔,경북 구미시 산호대로29길 8-17,모텔,1201
65,젠모텔,경북 구미시 산호대로30길 7-10,모텔,1183
66,프라임호텔,경북 구미시 산호대로30길 8-9,모텔,1166
67,호텔루비,경북 구미시 송원서로6길 20-12,모텔,1116
68,송하루오토캠핑장,경북 구미시 주아령로 192-0,캠핑,1112
69,제스호텔,경북 구미시 구미중앙로37길 11-0,모텔,1105
70,호텔탑,경북 구미시 인동북길 13-1,모텔,1102
71,해마루공원,경북 구미시,도시공원,1097
72,브이투모텔,경북 구미시 송원서로6길 34-4,모텔,1090
73,모텔코스모,경북 구미시 산호대로29길 8-3,모텔,1039
74,수모텔,경북 구미시 옥계남로 39-5,모텔,1030
75,모텔더블유,경북 구미시 인동34길 8-0,모텔,990
76,세븐플러스호텔,경북 구미시 인동중앙로5길 19-4,모텔,971
77,호텔이아,경북 구미시 인동중앙로3길 38-3,모텔,967
78,구미과학관,경북 구미시 3공단1로 219-1,전시시설,941
79,사각지유료낚시터,경북 구미시,수상레저스포츠,914
80,붐호텔,경북 구미시 인동중앙로5길 33-1,모텔,902
81,비즈니스호텔유럽,경북 구미시 인동중앙로3길 10-0,모텔,884
82,ON모텔,경북 구미시 문화로 14-1,모텔,876
83,펄비즈니스호텔,경북 구미시 옥계남로 21-0,호텔,872
84,호텔브이,경북 구미시 송원서로6길 34-2,모텔,870
85,타임호텔,경북 구미시 인동중앙로3길 49-0,모텔,869
86,낙동강강변하우스,경북 구미시 강정4길 64-6,펜션/민박,852
87,금오랜드실내아이스링크,경북 구미시 금오산로 339-0,육상레저스포츠,821
88,WM모텔,경북 구미시 산호대로24길 19-0,모텔,815
89,천생산,경북 구미시,자연경관(산),799
90,구미보자전거길인증센터,경북 구미시,기타레저스포츠,796
91,신라불교초전지,경북 구미시 도개다곡길 389-46,복합관광시설,788
92,호텔콤마,경북 구미시 인동북길 33-6,모텔,781
93,식스모텔,경북 구미시 여헌로1길 4-0,모텔,765
94,펀모텔,경북 구미시 송원서로4길 20-0,모텔,754
95,천생산성산림욕장,경북 구미시,자연공원,739
96,오로저수지,경북 구미시,자연경관(하천/해양),731
97,모던비지니스호텔,경북 구미시 옥계남로 25-0,모텔,726
98,SU모텔,경북 구미시 송원서로8길 9-0,모텔,724
99,큐나인모텔,경북 구미시 송원서로6길 20-3,모텔,693
100,휴먼트리펜션,경북 구미시 안곡2길 38-44,펜션/민박,688
